Manhattan_Steps,Manhattan_Time(s),AStar_Steps,AStar_Time(s),Price_Steps,Price_Time(s)
46,1.67e-03,20,4.57e-03,20,3.10e-03
46,3.70e-03,22,2.55e-02,26,2.37e-02
46,1.94e-03,24,4.71e-02,24,4.56e-02
46,2.64e-03,22,2.23e-02,26,8.71e-03
46,5.17e-03,22,2.03e-02,24,2.12e-02
46,5.74e-03,20,5.64e-03,22,3.94e-03
46,2.03e-03,14,2.28e-03,14,1.60e-02
47,1.94e-03,21,2.38e-02,21,1.60e-02
47,1.94e-03,19,1.12e-02,19,2.38e-02
47,4.27e-03,19,8.33e-03,19,3.16e-03
47,1.76e-03,21,1.66e-02,21,6.19e-03
47,1.38e-02,21,1.82e-02,21,1.94e-02
47,3.61e-03,19,5.14e-03,19,2.96e-03
47,1.65e-03,23,1.43e-02,23,2.07e-02
47,4.88e-03,21,1.48e-02,23,8.42e-03
47,3.68e-03,27,1.27e-01,27,1.94e-01
47,1.76e-03,19,7.34e-03,19,1.91e-02
47,3.55e-03,21,2.56e-02,25,7.63e-02
47,1.15e-03,29,1.64e-01,29,1.28e-01
47,1.85e-03,19,5.68e-03,19,9.71e-03
48,2.73e-03,18,5.76e-03,18,3.05e-03
48,2.35e-03,20,6.99e-03,20,1.51e-02
48,5.40e-03,24,3.64e-02,24,1.70e-02
48,3.49e-03,24,3.08e-02,24,2.36e-02
48,1.96e-03,26,8.02e-02,26,3.26e-02
48,4.93e-03,18,4.07e-03,18,1.42e-03
48,4.43e-03,22,4.96e-02,22,3.55e-02
48,5.63e-03,20,1.46e-02,20,1.55e-02
48,3.78e-03,20,4.55e-03,20,3.99e-03
48,3.28e-03,26,3.23e-02,26,5.96e-02
48,1.62e-03,24,6.45e-02,26,1.83e-02
48,4.79e-03,20,1.17e-02,20,1.68e-02
48,1.78e-03,12,8.15e-04,12,1.01e-03
48,4.23e-03,22,1.79e-02,22,7.38e-03
48,3.64e-03,26,1.38e-01,28,3.33e-02
48,1.81e-03,22,1.61e-02,22,2.86e-02
48,2.48e-03,16,2.05e-03,16,7.87e-04
48,2.45e-03,22,2.51e-02,22,2.44e-02
48,1.58e-03,20,9.37e-03,24,1.47e-02
48,2.80e-03,26,1.11e-01,26,8.36e-03
49,1.68e-03,21,1.64e-02,23,1.70e-02
49,2.91e-03,19,9.99e-03,19,5.77e-03
49,2.42e-03,25,1.08e-01,27,1.12e-01
49,1.86e-03,21,6.11e-03,21,2.60e-02
49,1.58e-03,23,2.97e-02,25,3.85e-02
49,3.65e-03,21,1.33e-02,21,1.57e-02
49,5.27e-03,21,2.64e-02,21,3.96e-02
49,1.88e-03,27,1.72e-01,27,1.21e-01
49,4.21e-03,19,4.37e-03,19,1.68e-03
49,1.84e-03,25,8.08e-02,25,3.33e-02
49,1.87e-03,23,3.51e-02,23,1.14e-02
49,3.45e-03,23,4.18e-02,23,5.94e-02
49,3.54e-03,17,5.61e-03,17,4.32e-03
49,7.02e-03,27,1.61e-01,27,5.06e-02
49,5.21e-03,21,3.02e-02,23,1.36e-02
49,2.24e-03,21,2.13e-02,21,5.81e-03
49,3.99e-03,17,4.86e-03,17,2.89e-03
49,4.19e-03,19,5.37e-03,19,9.45e-03
50,3.84e-03,24,1.06e-01,24,4.71e-02
50,1.77e-03,26,1.20e-01,28,5.96e-02
50,5.17e-03,24,2.92e-02,24,9.04e-03
50,4.39e-03,22,1.87e-02,24,1.44e-02
50,1.96e-03,20,1.93e-02,20,1.68e-02
50,4.52e-03,22,2.60e-02,22,9.95e-03
50,5.18e-03,26,1.17e-01,26,3.02e-02
50,1.75e-03,26,1.29e-01,28,1.60e-01
50,1.01e-02,20,1.24e-02,20,5.80e-03
50,1.90e-03,20,3.05e-03,20,1.06e-03
50,2.01e-03,24,9.10e-02,24,6.34e-02
50,2.09e-03,24,5.54e-02,24,2.73e-02
50,4.97e-03,24,5.78e-02,26,3.19e-02
50,4.35e-03,22,1.35e-02,24,3.18e-02
50,1.99e-03,22,4.09e-02,22,4.62e-02
50,1.91e-03,26,5.84e-02,26,1.49e-01
50,4.94e-03,22,3.34e-02,26,3.60e-02
51,2.08e-03,23,3.75e-02,23,2.80e-02
51,2.10e-03,23,5.38e-02,23,1.66e-02
51,5.24e-03,21,5.05e-03,21,4.64e-03
51,5.86e-03,17,1.26e-03,17,1.02e-03
51,1.61e-03,21,1.04e-02,21,2.43e-02
51,2.80e-03,23,2.07e-02,23,1.00e-02
51,4.58e-03,23,3.56e-02,23,1.81e-02
51,2.00e-03,19,1.21e-02,19,6.86e-02
51,5.43e-03,25,1.08e-01,25,6.57e-02
51,2.83e-03,23,1.74e-02,23,1.52e-02
51,2.02e-03,23,1.38e-02,23,2.79e-02
51,5.71e-03,21,1.75e-02,21,2.91e-02
51,5.58e-03,21,2.32e-02,23,1.67e-02
51,4.45e-03,23,3.28e-02,23,1.24e-02
51,4.92e-03,21,1.15e-02,21,1.32e-02
51,4.09e-03,23,2.78e-02,23,3.14e-02
51,3.76e-03,19,6.57e-03,19,4.87e-03
51,1.77e-03,25,8.29e-02,25,7.44e-02
51,1.78e-03,25,3.34e-02,27,1.59e-01
52,5.08e-03,24,1.98e-02,24,2.47e-02
52,3.66e-03,24,2.18e-02,24,9.27e-03
52,4.34e-03,24,2.03e-02,24,3.88e-02
52,4.59e-03,24,3.81e-02,24,2.18e-02
52,5.88e-03,26,1.59e-01,26,1.51e-01
52,5.95e-03,20,4.73e-03,20,4.90e-03
52,3.69e-03,24,5.43e-02,24,5.30e-02
52,4.21e-03,22,3.22e-02,22,2.61e-02
52,3.62e-03,26,6.04e-02,26,4.71e-02
52,2.33e-03,18,3.61e-03,18,3.08e-03
52,4.68e-03,24,1.00e-01,26,4.29e-02
52,2.43e-03,24,1.01e-01,26,5.47e-02
52,5.22e-03,18,3.61e-03,18,1.07e-02
52,3.73e-03,20,1.02e-02,20,6.64e-03
52,6.03e-03,20,1.76e-02,24,3.08e-02
52,4.35e-03,20,8.67e-03,20,7.53e-03
52,4.95e-03,22,2.41e-02,22,2.29e-02
53,2.88e-03,19,4.61e-03,19,6.12e-03
53,4.46e-03,21,8.37e-03,21,3.39e-03
53,5.08e-03,27,1.64e-01,27,1.19e-01
53,4.20e-03,25,1.03e-01,25,9.81e-02
53,3.96e-03,21,4.23e-03,21,1.17e-02
53,5.10e-03,23,1.87e-02,23,6.60e-03
53,2.07e-03,25,5.45e-02,25,1.54e-02
53,1.07e-02,21,1.14e-02,23,9.17e-03
53,1.95e-03,19,6.70e-03,19,2.27e-02
53,1.95e-03,27,1.78e-01,27,5.73e-02
53,4.86e-03,21,1.21e-02,21,4.79e-03
53,5.58e-03,21,4.52e-03,25,1.49e-02
53,2.07e-03,21,2.26e-02,21,4.39e-02
54,2.03e-03,24,3.73e-02,24,1.87e-02
54,2.19e-03,20,6.14e-03,20,2.75e-02
54,2.35e-03,18,3.54e-03,18,4.17e-03
54,2.19e-03,22,1.59e-02,22,1.36e-02
54,5.30e-03,22,5.75e-02,24,3.90e-02
54,5.29e-03,24,3.35e-02,24,1.71e-02
54,4.64e-03,26,6.69e-02,26,1.44e-01
54,2.01e-03,28,2.55e-01,28,7.06e-02
54,2.01e-03,24,7.72e-02,24,7.87e-02
54,5.54e-03,22,2.78e-02,22,3.25e-02
54,4.80e-03,18,7.34e-03,18,1.30e-02
54,1.86e-03,24,1.77e-02,24,9.78e-02
54,2.06e-03,26,9.27e-02,28,5.50e-02
54,4.58e-03,26,6.43e-02,26,4.47e-02
54,1.80e-03,22,1.48e-02,22,1.34e-02
54,5.70e-03,22,2.44e-02,22,6.31e-03
54,1.97e-03,22,1.55e-02,22,2.42e-02
54,1.68e-03,20,1.00e-02,20,4.32e-03
54,5.15e-03,20,9.93e-03,20,1.55e-02
55,6.70e-03,23,2.41e-02,23,2.62e-02
55,4.88e-03,25,7.18e-02,25,3.54e-02
55,5.86e-03,21,1.87e-02,21,7.63e-03
55,4.83e-03,21,2.86e-02,21,1.40e-02
55,4.87e-03,21,3.00e-02,21,2.01e-02
55,5.04e-03,21,1.78e-02,23,1.29e-02
55,2.02e-03,25,8.90e-02,25,1.73e-01
55,3.38e-03,27,1.63e-01,29,8.64e-02
55,4.77e-03,23,1.11e-02,23,1.67e-02
55,5.08e-03,23,2.37e-02,23,3.98e-02
55,3.70e-03,25,1.06e-01,25,6.35e-02
55,2.90e-03,23,4.80e-02,23,5.46e-02
55,2.09e-03,25,4.01e-02,25,5.85e-02
55,2.03e-03,27,1.27e-01,27,5.17e-02
56,5.53e-03,26,8.77e-02,28,6.16e-02
56,4.97e-03,22,3.39e-02,24,1.61e-02
56,6.00e-03,26,1.21e-01,26,6.71e-02
56,5.64e-03,22,2.60e-02,22,3.03e-02
56,4.56e-03,22,2.85e-02,22,1.62e-02
56,3.88e-03,22,8.57e-03,22,3.69e-02
56,5.31e-03,24,4.68e-02,24,1.51e-01
56,2.01e-03,26,1.26e-01,26,3.93e-02
56,4.56e-03,22,1.89e-02,22,1.18e-02
56,5.64e-03,24,1.29e-02,24,6.92e-03
56,4.15e-03,22,2.37e-02,24,1.92e-02
56,4.40e-03,22,2.98e-03,22,3.00e-03
56,6.65e-03,24,2.44e-02,24,3.14e-02
56,2.08e-03,22,1.09e-02,22,8.35e-03
56,1.85e-03,24,5.03e-02,24,8.95e-02
56,5.48e-03,24,3.82e-02,26,5.15e-02
56,4.57e-03,24,1.95e-02,26,3.48e-02
56,3.89e-03,26,9.51e-02,26,3.25e-02
56,2.78e-03,22,4.04e-02,22,6.17e-02
56,5.06e-03,24,1.44e-02,24,1.51e-02
57,5.01e-03,21,3.17e-02,21,1.07e-02
57,2.15e-03,19,1.30e-02,19,3.87e-02
57,2.09e-03,17,1.33e-03,17,8.37e-04
57,2.05e-03,17,2.61e-03,17,3.03e-03
57,2.25e-03,23,3.02e-02,23,4.40e-02
57,2.92e-03,25,7.34e-02,25,5.76e-02
57,4.87e-03,21,1.83e-02,21,1.55e-02
57,5.02e-03,23,3.89e-02,23,1.45e-02
57,3.03e-03,27,1.81e-01,27,6.18e-02
57,4.75e-03,23,1.58e-02,23,1.24e-02
57,4.37e-03,21,1.71e-02,21,4.49e-03
57,2.90e-03,25,8.42e-02,25,1.86e-01
57,3.07e-03,25,3.60e-02,25,5.81e-02
57,2.50e-03,21,8.13e-03,21,1.39e-02
57,5.64e-03,21,1.78e-02,21,1.99e-02
57,2.20e-03,25,8.50e-02,25,6.87e-02
57,3.94e-03,21,1.77e-02,21,3.53e-03
58,2.62e-03,26,1.48e-01,26,2.32e-02
58,5.52e-03,22,5.17e-02,22,3.05e-02
58,2.79e-03,26,1.90e-01,26,6.41e-02
58,4.88e-03,24,4.60e-02,26,5.86e-02
58,5.32e-03,24,6.35e-02,24,9.38e-02
58,2.06e-03,24,5.03e-02,24,2.27e-02
58,3.97e-03,26,7.02e-02,28,7.72e-02
58,1.17e-02,24,2.74e-02,28,7.63e-02
58,4.69e-03,24,2.17e-02,24,1.13e-02
58,2.14e-03,26,1.61e-01,30,1.18e-01
58,4.38e-03,22,1.49e-02,24,9.55e-02
58,5.12e-03,24,5.64e-02,26,6.46e-02
58,2.89e-03,20,7.69e-03,20,7.93e-03
58,2.91e-03,22,2.20e-02,24,2.75e-02
58,5.37e-03,24,4.60e-02,28,3.26e-02
58,5.05e-03,18,3.11e-03,20,7.30e-03
58,2.74e-03,24,7.46e-02,24,6.62e-02
58,6.16e-03,22,2.91e-02,24,4.08e-02
58,4.23e-03,22,2.90e-02,22,3.54e-02
58,3.75e-03,24,4.28e-02,28,5.87e-02
58,4.30e-03,20,1.25e-02,24,2.18e-02
58,5.62e-03,20,1.20e-02,20,1.09e-02
58,4.14e-03,28,2.37e-01,30,8.62e-02
59,4.91e-03,23,2.76e-02,25,3.51e-02
59,2.79e-03,21,1.01e-02,21,1.31e-02
59,4.20e-03,25,5.64e-02,25,6.44e-02
59,4.92e-03,15,1.59e-03,15,1.24e-03
59,5.89e-03,21,5.16e-03,21,3.88e-03
59,2.47e-03,23,3.85e-02,25,3.30e-02
59,5.48e-03,27,2.64e-01,27,2.27e-01
59,7.21e-03,23,4.34e-02,23,3.33e-02
59,4.24e-03,21,1.37e-02,21,7.99e-02
59,4.11e-03,19,5.27e-03,19,2.20e-03
59,4.61e-03,23,4.37e-02,23,9.19e-03
60,2.17e-03,22,2.69e-02,22,9.64e-03
60,5.79e-03,24,6.61e-02,28,1.09e-01
60,5.30e-03,20,8.59e-03,20,1.96e-02
60,4.51e-03,26,1.13e-01,32,2.61e-01
60,2.28e-03,22,2.24e-02,22,1.58e-02
60,5.37e-03,18,1.24e-03,18,2.01e-03
60,4.71e-03,22,5.68e-03,22,4.52e-03
60,1.98e-03,24,3.34e-02,24,2.70e-02
60,5.36e-03,16,1.05e-03,16,6.10e-04
60,2.14e-03,22,1.46e-02,22,1.48e-02
60,7.03e-03,22,3.25e-02,24,4.04e-02
60,5.79e-03,26,1.15e-01,26,1.50e-01
60,4.79e-03,24,4.14e-02,24,2.42e-02
